data,municipio,estado,bioma,avg_numero_dias_sem_chuva,avg_precipitacao,avg_risco_fogo,avg_frp
2024-01-01,VALE DO ANARI,RONDÔNIA,Amazônia,0.0,1698.0,0.0,13.0
2024-01-01,SÃO GABRIEL DA CACHOEIRA,AMAZONAS,Amazônia,0.2,206.8,0.0,81.4
2024-01-01,MANAQUIRI,AMAZONAS,Amazônia,0.0,60.0,0.0,27.0
2024-01-01,JUTAÍ,AMAZONAS,Amazônia,2.0,776.0,0.0,211.0
2024-01-01,AUTAZES,AMAZONAS,Amazônia,0.0,2.22,0.0,97.67
2024-01-01,IRANDUBA,AMAZONAS,Amazônia,0.0,0.0,0.0,55.5
2024-01-01,CAREIRO DA VÁRZEA,AMAZONAS,Amazônia,0.0,68.0,0.0,25.0
2024-01-01,SÃO LUIZ,RORAIMA,Amazônia,0.0,0.0,18.0,1311.8
2024-01-01,BOA VISTA,RORAIMA,Amazônia,7.84,0.0,100.0,79.67
2024-01-01,NORMANDIA,RORAIMA,Amazônia,5.44,0.0,100.0,100.78
2024-01-01,BONFIM,RORAIMA,Amazônia,6.0,0.0,96.81,318.0
2024-01-01,CANTÁ,RORAIMA,Amazônia,5.5,0.0,54.75,309.75
2024-01-01,UIRAMUTÃ,RORAIMA,Amazônia,6.0,0.0,100.0,52.0
2024-01-01,PACARAIMA,RORAIMA,Amazônia,5.64,0.0,98.26,328.89
2024-01-01,CARACARAÍ,RORAIMA,Amazônia,2.13,0.0,61.8,54.4
2024-01-01,RORAINÓPOLIS,RORAIMA,Amazônia,1.92,0.0,20.54,785.42
2024-01-01,CAROEBE,RORAIMA,Amazônia,0.0,0.0,10.14,454.84
2024-01-01,SÃO JOÃO DA BALIZA,RORAIMA,Amazônia,2.0,0.0,10.0,183.0
2024-01-01,IRACEMA,RORAIMA,Amazônia,3.6,0.0,50.4,333.2
2024-01-01,AMAJARI,RORAIMA,Amazônia,4.65,32.23,92.78,628.15
2024-01-01,ALTO ALEGRE,RORAIMA,Amazônia,6.0,0.0,100.0,14.0
2024-01-01,MUCAJAÍ,RORAIMA,Amazônia,6.0,0.0,72.0,11.0
2024-01-01,ORIXIMINÁ,PARÁ,Amazônia,6.0,0.0,100.0,593.0
2024-01-01,BRASIL NOVO,PARÁ,Amazônia,0.0,0.0,0.0,44.2
